<strong>[2023-03-10 14:19:18,918-root-INFO]</strong> Initialize parameter<br>
<strong>[2023-03-10 14:19:56,805-scrapy.middleware-INFO]</strong> Enabled downloader middlewares:
['scrapy.downloadermiddlewares.httpauth.HttpAuthMiddleware',
 'scrapy.downloadermiddlewares.downloadtimeout.DownloadTimeoutMiddleware',
 'scrapy.downloadermiddlewares.defaultheaders.DefaultHeadersMiddleware',
 'scrapy.downloadermiddlewares.useragent.UserAgentMiddleware',
 'scrapy.downloadermiddlewares.retry.RetryMiddleware',
 'scrapy.downloadermiddlewares.redirect.MetaRefreshMiddleware',
 'scrapy.downloadermiddlewares.httpcompression.HttpCompressionMiddleware',
 'scrapy.downloadermiddlewares.redirect.RedirectMiddleware',
 'scrapy.downloadermiddlewares.cookies.CookiesMiddleware',
 'scrapy.downloadermiddlewares.httpproxy.HttpProxyMiddleware',
 'scrapy.downloadermiddlewares.stats.DownloaderStats']<br>
<strong>[2023-03-10 14:19:56,809-scrapy.middleware-INFO]</strong> Enabled spider middlewares:
['scrapy.spidermiddlewares.httperror.HttpErrorMiddleware',
 'scrapy.spidermiddlewares.offsite.OffsiteMiddleware',
 'scrapy.spidermiddlewares.referer.RefererMiddleware',
 'scrapy.spidermiddlewares.urllength.UrlLengthMiddleware',
 'scrapy.spidermiddlewares.depth.DepthMiddleware']<br>
<strong>[2023-03-10 14:19:56,810-scrapy.middleware-INFO]</strong> Enabled item pipelines:
[]<br>
<strong>[2023-03-10 14:19:56,810-scrapy.core.engine-INFO]</strong> Spider opened<br>
<strong>[2023-03-10 14:19:56,964-scrapy.extensions.logstats-INFO]</strong> Crawled 0 pages (at 0 pages/min), scraped 0 items (at 0 items/min)<br>
<strong>[2023-03-10 14:19:56,966-scrapy.extensions.telnet-INFO]</strong> Telnet console listening on 127.0.0.1:6023<br>
<strong>[2023-03-10 14:19:58,262-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/shugyoshien/index.html<br>
<strong>[2023-03-10 14:19:58,378-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/mynumber/index.html<br>
<strong>[2023-03-10 14:19:58,386-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/suidou/index.html<br>
<strong>[2023-03-10 14:19:58,392-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/pet/index.html<br>
<strong>[2023-03-10 14:19:58,400-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/shohiseikatsu/index.html<br>
<strong>[2023-03-10 14:19:58,410-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/kotsu_douro/index.html<br>
<strong>[2023-03-10 14:19:58,419-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/shikatsu_jichikai/index.html<br>
<strong>[2023-03-10 14:19:58,431-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/sumai/index.html<br>
<strong>[2023-03-10 14:19:58,536-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/gomi_shigen/index.html<br>
<strong>[2023-03-10 14:19:58,658-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/nenkin/index.html<br>
<strong>[2023-03-10 14:19:58,666-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/kokuho/index.html<br>
<strong>[2023-03-10 14:19:58,682-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/zeikin/index.html<br>
<strong>[2023-03-10 14:19:58,693-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/jumin/index.html<br>
<strong>[2023-03-10 14:19:58,697-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/corona_kyufu/index.html<br>
<strong>[2023-03-10 14:19:58,702-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/webtransfer.html<br>
<strong>[2023-03-10 14:19:58,710-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kouko/link.html<br>
<strong>[2023-03-10 14:19:58,782-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/pittariservice.html<br>
<strong>[2023-03-10 14:19:58,886-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/shugyoshien/wakamono.html<br>
<strong>[2023-03-10 14:19:58,893-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/shugyoshien/silver.html<br>
<strong>[2023-03-10 14:19:58,899-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/shugyoshien/jobcenter.html<br>
<strong>[2023-03-10 14:19:58,904-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/shugyoshien/soudanshitsu.html<br>
<strong>[2023-03-10 14:19:58,913-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/shugyoshien/josei.html<br>
<strong>[2023-03-10 14:19:58,920-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/shugyoshien/roudoujouken.html<br>
<strong>[2023-03-10 14:19:58,935-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/shugyoshien/saiteitinngin.html<br>
<strong>[2023-03-10 14:19:59,022-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/sumai/shinyo_jokasou/index.html<br>
<strong>[2023-03-10 14:19:59,027-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/sumai/link/index.html<br>
<strong>[2023-03-10 14:19:59,034-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/gomi_shigen/shinshisetsu_seibi/index.html<br>
<strong>[2023-03-10 14:19:59,039-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/gomi_shigen/hojokin_sonota/index.html<br>
<strong>[2023-03-10 14:19:59,051-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/gomi_shigen/shorishisetsu/index.html<br>
<strong>[2023-03-10 14:19:59,069-root-INFO]</strong> check detail: http://www.city.abiko.chiba.jp/kurashi/sumai/030330tiikijyuutaku.html<br>
